"StartDate","EndDate","Status","Progress","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","browser","version","os","consent","curve.for.decision","curve.for.decision_9_TEXT","description","seed","user_id","STUDY_ID","SESSION_ID","img_path","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","vis","FL_9_DO","index","block","response","trial"
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",1,"single",1,10
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",2,"single",1,9
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",3,"single",1,14
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",4,"single",1,6
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",5,"single",1,11
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",6,"single",1,2
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",7,"single",1,102
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",8,"single",0,17
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",9,"single",0,16
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",10,"single",1,4
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",11,"single",0,101
"2024-08-30 12:59:41","2024-08-30 13:02:44","IP Address","100","True","2024-08-30 13:02:45","R_7lz8NquEdwpXpl8","anonymous","EN","1","Safari","17.4.1","Macintosh","Yes","A","","I look at the A and see how long the temperature is. ","527","8281fdf7","66d207d97109f850d371e919","66d21694943e222714239471","abhsarma/abhsarma.github.io/master/assets/possibilistic/pilot/","30","7000","18","12","C1OSMFWY","ensembles_right","FL_26",12,"single",1,8
