"user_id","vis","budget","curve_for_decision","description"
"2761281a","ensembles","5000","A,B,C","I looked at all of them to see where they fell on the graph and used my best judgement on what I would think. I looked at the 32 degree temp first then looked at the overall probability for that temp, using an estimate of what I would feel the chances are then I looked at all the lines to see where they all fell and used my best judgement on if the blankets could be useful or not with the temp/probability."
"8f4cf670","pbox","-10000","A,C","I was looking at the highest point of both A and E and I followed that the E was highest so I decided that way. For the first task, I just looked at 32 and where it laid at."
"56cccea5","ensembles","3000","A,B,C","I looked at the highest chance, and the lowest chance.  and determined the middle of that, if more were above that middle then i sent blankets, if more were below that middle then I did not send blankets,."
"dfee4b3b","ensembles","4000","A,C","I would rather spend $1000, so I tried to be minimize risk and sent the blankets if the chance of below 32 degree weather rose to 40% or so. Early on I lost $5000 on a night when I thought the temps would be okay and it made more cautious moving forward."
"e1de0c51","pbox","10000","A,C","None of the distributions go over 30% so I think it is unnecessary to send blankets for the Alpacas. The probability is higher that the temp will not go lower than 30 degrees."
"78efe40b","pbox","11000","A,B,C","I looked first to see if any of the forecasts showed above 30 percent. If not, then I did not send blankets that night. If any of the forecasts were above 30 percent chance, then I used B to determine my decision. If B was 40 percent or above, then I sent blankets."
"5ed56976","ensembles","12000","A","My threshold for sending blankets was 50%. If the predictions was 49% or below, I would choose not to send blankets because the prediction is that it is more than likely not to be below 32 degrees. If the prediction was 50% or above, I chose to send blankets. In the instance of the multiple prediction scenario, I looked at the highest prediction because that'd be the worst case scenario (the highest possible chance). "
"cee21079","ensembles","6000","A","if all predictions were under around 30% chance, I wouldn't send them. if any of them were above 30, I would send them. I looked at the highest probability graph and the lowest probability graphs for the most part to make my decisions. "
"bc182e42","pbox","5000","A,B,C","I tried to play it safe so even if the percentage was low I still sent blankets. The $5000 penalty was pretty steep so there was no reason to risk it. I considered all the lines and if the chance was more than 20% I just didn't think I should risk it. The one time I did I got hit with the $5000 penalty."
"ea4c5992","ensembles","4000","Other (please describe)","I choose to send blankets if the graph was higher."
